timestamp,price,signal,MACD,Signal_Line,trend,stop_loss,target,profit_loss,index_price,ATM_strike,entry_price,stoploss,exit,profit_and_loss,MACD_trend
2024-05-08 13:58:00,392.95,buy,0.14654972990842907,-2.473256455603799,up,382.7908308514143,412.95,19.400000000000034,392.95,22050,392.95,382.7908308514143,358.4,-34.55000000000001,up
2024-05-08 14:33:00,358.4,buy,0.0516949855144162,-1.4025160053146246,up,350.81027929201616,378.4,34.55000000000001,358.4,22050,358.4,350.81027929201616,357.3,-1.099999999999966,up
2024-05-08 14:43:00,357.3,buy,0.03061522956539875,-0.2233914157769534,up,351.106466439056,377.3,1.099999999999966,357.3,22050,357.3,351.106466439056,357.6,0.30000000000001137,up
2024-05-08 15:00:00,357.6,sell,-0.30376422376224355,1.046311005482033,down,363.69681099021295,337.6,0.30000000000001137,357.6,22050,357.6,363.69681099021295,361.85,4.25,down
2024-05-08 15:05:00,361.85,sell,-0.07752130386785439,0.43441868647283954,down,364.84255502527304,341.85,4.25,361.85,22050,361.85,364.84255502527304,362.55,0.6999999999999886,down
2024-05-08 15:25:00,362.55,buy,0.2002994829666136,-0.4375354848373369,up,359.22230818875533,382.55,-0.6999999999999886,362.55,22050,362.55,359.22230818875533,348.85,-13.699999999999989,up
2024-05-09 09:16:00,348.85,sell,-0.47116215691568186,-0.0537895864730003,down,357.69458075783314,328.85,-13.699999999999989,348.85,22050,348.85,357.69458075783314,250.25,-98.60000000000002,down
2024-05-09 10:59:00,250.25,buy,0.276531657033928,-0.6098133196910839,up,246.09155389833052,270.25,98.60000000000002,250.25,22050,250.25,246.09155389833052,241.25,-9.0,up
2024-05-09 11:34:00,241.25,buy,0.26736483285276336,-0.21074329172367878,up,235.7479773031831,261.25,9.0,241.25,22050,241.25,235.7479773031831,248.45,7.199999999999989,up
2024-05-09 11:57:00,248.45,sell,-0.0025567990396666573,0.808835798322607,down,249.48914467997335,228.45,7.199999999999989,248.45,22050,248.45,249.48914467997335,246.65,-1.799999999999983,down
2024-05-09 12:03:00,246.65,sell,-0.11705787588132921,0.2666243440382008,down,249.438207142987,226.65,-1.799999999999983,246.65,22050,246.65,249.438207142987,250.95,4.299999999999983,down
2024-05-09 12:14:00,250.95,buy,0.10387327431055837,-0.23272465141230525,up,248.2103664296481,270.95,-4.299999999999983,250.95,22050,250.95,248.2103664296481,245.25,-5.699999999999989,up
2024-05-09 12:27:00,245.25,sell,-0.3952272854103285,0.7339079628967018,down,253.47708863903134,225.25,-5.699999999999989,245.25,22050,245.25,253.47708863903134,188.45,-56.80000000000001,down
2024-05-09 13:34:00,188.45,buy,0.0013969646217901754,-0.5042932007519207,up,188.17484779049227,208.45,56.80000000000001,188.45,22050,188.45,188.17484779049227,188.45,0.0,up
2024-05-09 13:55:00,188.45,sell,-0.20503134673151635,0.5409790093099645,down,193.35083137348113,168.45,0.0,188.45,22050,188.45,193.35083137348113,194.6,6.150000000000006,down
2024-05-09 14:08:00,194.6,buy,0.1937968859684247,-0.532837881068105,up,189.20794191489426,214.6,-6.150000000000006,194.6,22050,194.6,189.20794191489426,190.05,-4.549999999999983,up
2024-05-09 14:27:00,190.05,sell,-0.06869385250661253,0.20265579163766628,down,192.57950087106042,170.05,-4.549999999999983,190.05,22050,190.05,192.57950087106042,181.35,-8.700000000000017,down
2024-05-09 14:52:00,181.35,buy,0.04952636643997721,-1.1337112673644887,up,174.25967935061553,201.35,8.700000000000017,181.35,22050,181.35,174.25967935061553,,,up
