Position Type,Entry Price,Entry Time,Exit Price,Profit/Loss
Long,22462.8,2024-04-24 11:34:00,22458.0,-4.799999999999272
Short,22456.15,2024-04-24 11:38:00,22458.0,-1.8499999999985448
Long,22457.2,2024-04-24 12:05:00,22458.0,0.7999999999992724
Short,22453.95,2024-04-24 12:24:00,22458.0,-4.049999999999272
Long,22458.45,2024-04-24 12:27:00,22458.0,-0.4500000000007276
Short,22453.8,2024-04-24 12:31:00,22458.0,-4.200000000000728
Long,22458.65,2024-04-24 12:37:00,22458.0,-0.6500000000014552
Short,22453.9,2024-04-24 12:45:00,22458.0,-4.099999999998545
Long,22457.0,2024-04-24 13:19:00,22458.0,1.0
Short,22445.3,2024-04-24 13:31:00,22458.0,-12.700000000000728
Long,22452.4,2024-04-24 13:53:00,22458.0,5.599999999998545
Short,22445.55,2024-04-24 14:06:00,22458.0,-12.450000000000728
Long,22452.0,2024-04-24 14:13:00,22458.0,6.0
Short,22446.25,2024-04-24 14:21:00,22458.0,-11.75
Long,22408.25,2024-04-24 15:22:00,22458.0,49.75
Short,22344.55,2024-04-25 09:15:00,22458.0,-113.45000000000073
Long,22382.6,2024-04-25 09:38:00,22458.0,75.40000000000146
Short,22428.55,2024-04-25 10:44:00,22458.0,-29.450000000000728
Long,22432.1,2024-04-25 11:09:00,22458.0,25.900000000001455
Short,22391.05,2024-04-25 11:25:00,22458.0,-66.95000000000073
Long,22415.05,2024-04-25 11:31:00,22458.0,42.95000000000073
Short,22404.7,2024-04-25 11:32:00,22458.0,-53.29999999999927
Long,22407.55,2024-04-25 11:33:00,22458.0,50.45000000000073
Short,22405.15,2024-04-25 11:34:00,22458.0,-52.849999999998545
Long,22408.7,2024-04-25 11:36:00,22458.0,49.29999999999927
Short,22402.65,2024-04-25 11:52:00,22458.0,-55.349999999998545
Long,22415.95,2024-04-25 11:54:00,22458.0,42.04999999999927
Short,22401.05,2024-04-25 11:59:00,22458.0,-56.95000000000073
Long,22403.4,2024-04-25 12:29:00,22458.0,54.599999999998545
Short,22396.65,2024-04-25 12:45:00,22458.0,-61.349999999998545
Long,22404.05,2024-04-25 12:58:00,22458.0,53.95000000000073
Short,22575.05,2024-04-25 15:01:00,22458.0,117.04999999999927
Long,22601.85,2024-04-26 09:16:00,22458.0,-143.84999999999854
Short,22578.15,2024-04-26 09:50:00,22458.0,120.15000000000146
Long,22538.9,2024-04-26 10:47:00,22458.0,-80.90000000000146
Short,22524.7,2024-04-26 11:06:00,22458.0,66.70000000000073
Long,22537.3,2024-04-26 11:26:00,22458.0,-79.29999999999927
Short,22524.05,2024-04-26 11:55:00,22458.0,66.04999999999927
Long,22514.3,2024-04-26 13:13:00,22458.0,-56.29999999999927
Short,22500.7,2024-04-26 13:16:00,22458.0,42.70000000000073
Long,22445.25,2024-04-26 14:14:00,22458.0,12.75
Short,22432.4,2024-04-26 14:26:00,22458.0,-25.599999999998545
Long,22444.3,2024-04-26 14:41:00,22458.0,13.700000000000728
Short,22420.25,2024-04-26 15:00:00,22458.0,-37.75
Long,22453.65,2024-04-26 15:21:00,22458.0,4.349999999998545
Short,22464.9,2024-04-29 09:46:00,22458.0,6.900000000001455
Long,22489.4,2024-04-29 10:08:00,22458.0,-31.400000000001455
Short,22520.5,2024-04-29 10:53:00,22458.0,62.5
Long,22523.4,2024-04-29 10:54:00,22458.0,-65.40000000000146
Short,22531.35,2024-04-29 11:35:00,22458.0,73.34999999999854
Long,22542.35,2024-04-29 11:42:00,22458.0,-84.34999999999854
Short,22611.75,2024-04-29 14:46:00,22458.0,153.75
Long,22626.75,2024-04-29 14:54:00,22458.0,-168.75
Short,22629.7,2024-04-29 15:28:00,22458.0,171.70000000000073
Long,22679.0,2024-04-30 09:15:00,22458.0,-221.0
Short,22738.2,2024-04-30 11:03:00,22458.0,280.2000000000007
Long,22740.75,2024-04-30 11:26:00,22458.0,-282.75
Short,22729.3,2024-04-30 11:29:00,22458.0,271.2999999999993
Long,22735.75,2024-04-30 11:33:00,22458.0,-277.75
Short,22727.55,2024-04-30 11:37:00,22458.0,269.5499999999993
Long,22736.3,2024-04-30 11:43:00,22458.0,-278.2999999999993
Short,22726.25,2024-04-30 11:49:00,22458.0,268.25
Long,22737.45,2024-04-30 11:57:00,22458.0,-279.4500000000007
Short,22730.45,2024-04-30 12:41:00,22458.0,272.4500000000007
Long,22746.95,2024-04-30 12:50:00,22458.0,-288.9500000000007
Short,22739.8,2024-04-30 12:55:00,22458.0,281.7999999999993
Long,22740.75,2024-04-30 13:30:00,22458.0,-282.75
Short,22728.75,2024-04-30 13:53:00,22458.0,270.75
Long,22738.4,2024-04-30 13:57:00,22458.0,-280.40000000000146
Short,22759.0,2024-04-30 14:39:00,22458.0,301.0
Long,22650.6,2024-05-02 09:18:00,22458.0,-192.59999999999854
Short,22676.0,2024-05-02 11:07:00,22458.0,218.0
Long,22676.35,2024-05-02 11:31:00,22458.0,-218.34999999999854
Short,22678.75,2024-05-02 12:24:00,22458.0,220.75
Long,22695.85,2024-05-02 12:29:00,22458.0,-237.84999999999854
Short,22679.15,2024-05-02 12:39:00,22458.0,221.15000000000146
Long,22685.5,2024-05-02 13:03:00,22458.0,-227.5
Short,22678.5,2024-05-02 13:07:00,22458.0,220.5
Long,22683.8,2024-05-02 13:08:00,22458.0,-225.79999999999927
Short,22682.95,2024-05-02 13:45:00,22458.0,224.95000000000073
Long,22700.85,2024-05-02 13:49:00,22458.0,-242.84999999999854
Short,22685.95,2024-05-02 14:00:00,22458.0,227.95000000000073
Long,22669.55,2024-05-02 14:52:00,22458.0,-211.54999999999927
Short,22658.1,2024-05-02 15:05:00,22458.0,200.09999999999854
Long,22656.75,2024-05-02 15:29:00,22458.0,-198.75
Short,22717.55,2024-05-03 10:05:00,22458.0,259.5499999999993
Long,22500.5,2024-05-03 12:21:00,22458.0,-42.5
Short,22455.15,2024-05-03 12:52:00,22458.0,-2.849999999998545
Long,22401.15,2024-05-03 14:06:00,22458.0,56.849999999998545
Short,22382.55,2024-05-03 14:26:00,22458.0,-75.45000000000073
Long,22404.95,2024-05-03 14:29:00,22458.0,53.04999999999927
Short,22445.9,2024-05-06 09:41:00,22458.0,-12.099999999998545
Long,22482.95,2024-05-06 10:22:00,22458.0,-24.950000000000728
Short,22494.1,2024-05-06 11:14:00,22458.0,36.099999999998545
Long,22502.85,2024-05-06 11:51:00,22458.0,-44.849999999998545
Short,22492.25,2024-05-06 12:25:00,22458.0,34.25
Long,22455.7,2024-05-06 13:40:00,22458.0,2.2999999999992724
Short,22439.5,2024-05-06 14:00:00,22458.0,-18.5
Long,22461.55,2024-05-06 14:21:00,22458.0,-3.5499999999992724
Short,22444.45,2024-05-06 14:28:00,22458.0,-13.549999999999272
Long,22463.35,2024-05-06 14:45:00,22458.0,-5.349999999998545
Short,22427.05,2024-05-06 14:59:00,22458.0,-30.950000000000728
Long,22451.85,2024-05-06 15:28:00,22458.0,6.150000000001455
